"sample","detailed_category","primary disease or tissue","_primary_site","_sample_type","_gender","_study","cancer","sample.type.cancer.info","Grade","Stage","TNM.Metastasis","TNM.Node","TNM.Tumor","Cancer.Type.Detailed","Subtype"
"TCGA-A2-A25A-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIA","M0","N0 (I-)","T2","Breast Invasive Lobular Carcinoma","BRCA_Normal"
"TCGA-A2-A25B-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIB","M0","N1","T2","Breast Invasive Ductal Carcinoma","BRCA_LumB"
"TCGA-A2-A25C-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIB","M0","N1A","T2","Breast Invasive Ductal Carcinoma","BRCA_LumB"
"TCGA-A2-A25D-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIIC","M0","N3A","T2","Breast Invasive Lobular Carcinoma","BRCA_LumA"
"TCGA-A2-A25E-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIIA","M0","N2A","T2","Breast Invasive Ductal Carcinoma","BRCA_LumB"
"TCGA-A2-A25F-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIA","M0","N0 (I-)","T2","Breast Invasive Ductal Carcinoma","BRCA_Basal"
"TCGA-A2-A3KC-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIB","M0","N1A","T2","Breast Invasive Lobular Carcinoma",NA
"TCGA-A2-A3KD-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIIA","M0","N1MI","T3","Breast Invasive Mixed Mucinous Carcinoma","BRCA_LumA"
"TCGA-A2-A3XS-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIIA","M0","N2A","T1","Breast Invasive Ductal Carcinoma",NA
"TCGA-A2-A3XT-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIB","M0","N1A","T2","Breast Invasive Ductal Carcinoma","BRCA_Basal"
"TCGA-A2-A3XU-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIB","M0","N1MI","T2","Breast Invasive Ductal Carcinoma","BRCA_Basal"
"TCGA-A2-A3XV-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIA","M0","N0","T2","Breast Invasive Ductal Carcinoma","BRCA_Her2"
"TCGA-A2-A3XW-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIB","M0","N1A","T2","Breast Invasive Ductal Carcinoma","BRCA_Normal"
"TCGA-A2-A3XX-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIA","M0","N0","T2","Breast Invasive Ductal Carcinoma","BRCA_Basal"
"TCGA-A2-A3XY-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIB","M0","N1A","T2","Breast Invasive Ductal Carcinoma",NA
"TCGA-A2-A3XZ-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE I","M0","N0","T1C","Breast Invasive Ductal Carcinoma","BRCA_Her2"
"TCGA-A2-A3Y0-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIB","M0","N1A","T2","Breast Invasive Ductal Carcinoma","BRCA_Basal"
"TCGA-A2-A4RW-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIIC","M0","N3A","T2","Breast Invasive Lobular Carcinoma",NA
"TCGA-A2-A4RX-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIA","M0","N0","T2","Metaplastic Breast Cancer",NA
"TCGA-A2-A4RY-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIIC","M0","N3A","T3","Breast Invasive Lobular Carcinoma",NA
"TCGA-A2-A4S0-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIA","M0","N0","T2","Breast Invasive Mixed Mucinous Carcinoma",NA
"TCGA-A2-A4S1-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIA","M0","N0","T2","Metaplastic Breast Cancer","BRCA_Basal"
"TCGA-A2-A4S2-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIIA","M0","N2","T3","Breast Invasive Lobular Carcinoma","BRCA_LumA"
"TCGA-A2-A4S3-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIB","M0","N1A","T2","Breast Invasive Ductal Carcinoma","BRCA_LumB"
"TCGA-A7-A0CD-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE I","M0","N0","T1","Breast Invasive Ductal Carcinoma","BRCA_LumA"
"TCGA-A7-A0CE-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIA","M0","N0 (I-)","T2","Breast Invasive Ductal Carcinoma","BRCA_Basal"
"TCGA-A7-A0CE-11","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Solid Tissue Normal","Female","TCGA","BRCA","Paracancer",NA,NA,NA,NA,NA,NA,NA
"TCGA-A7-A0CG-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIA","M0","N0 (I-)","T2","Breast Invasive Carcinoma (NOS)","BRCA_LumA"
"TCGA-A7-A0CH-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIA","M0","N0 (I-)","T2","Breast Invasive Ductal Carcinoma","BRCA_LumA"
"TCGA-A7-A0CH-11","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Solid Tissue Normal","Female","TCGA","BRCA","Paracancer",NA,NA,NA,NA,NA,NA,NA
"TCGA-A7-A0CJ-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIA","M0","N0 (I-)","T2","Breast Invasive Ductal Carcinoma","BRCA_LumB"
"TCGA-A7-A0D9-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIA","M0","N0 (I-)","T2","Breast Invasive Ductal Carcinoma","BRCA_LumA"
"TCGA-A7-A0D9-11","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Solid Tissue Normal","Female","TCGA","BRCA","Paracancer",NA,NA,NA,NA,NA,NA,NA
"TCGA-A7-A0DA-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIA","M0","N0 (I-)","T2","Breast Invasive Ductal Carcinoma","BRCA_Basal"
"TCGA-A7-A0DB-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIA","M0","N0 (I-)","T2","Breast Invasive Ductal Carcinoma","BRCA_LumA"
"TCGA-A7-A0DB-11","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Solid Tissue Normal","Female","TCGA","BRCA","Paracancer",NA,NA,NA,NA,NA,NA,NA
"TCGA-A7-A0DC-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IA","M0","N0 (I-)","T1C","Breast Invasive Ductal Carcinoma",NA
"TCGA-A7-A0DC-11","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Solid Tissue Normal","Female","TCGA","BRCA","Paracancer",NA,NA,NA,NA,NA,NA,NA
"TCGA-A7-A13D-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIA","M0","N0 (I-)","T2","Breast Invasive Ductal Carcinoma","BRCA_Basal"
"TCGA-A7-A13E-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIB","MX","N1","T2","Breast Invasive Ductal Carcinoma","BRCA_Basal"
"TCGA-A7-A13E-11","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Solid Tissue Normal","Female","TCGA","BRCA","Paracancer",NA,NA,NA,NA,NA,NA,NA
"TCGA-A7-A13F-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIIA","M0","N1A","T3","Breast Invasive Ductal Carcinoma","BRCA_LumB"
"TCGA-A7-A13F-11","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Solid Tissue Normal","Female","TCGA","BRCA","Paracancer",NA,NA,NA,NA,NA,NA,NA
"TCGA-A7-A13G-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIA","MX","N0","T2","Breast Invasive Ductal Carcinoma","BRCA_LumA"
"TCGA-A7-A13G-11","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Solid Tissue Normal","Female","TCGA","BRCA","Paracancer",NA,NA,NA,NA,NA,NA,NA
"TCGA-A7-A13H-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIB","MX","N1A","T2","Breast Invasive Lobular Carcinoma",NA
"TCGA-A7-A26E-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIIA","MX","N1A","T3","Breast Invasive Lobular Carcinoma","BRCA_LumA"
"TCGA-A7-A26F-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IA","M0","N0","T1","Breast Invasive Carcinoma (NOS)","BRCA_Basal"
"TCGA-A7-A26G-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIA","M0","N0 (I+)","T2","Breast Invasive Carcinoma (NOS)","BRCA_Basal"
"TCGA-A7-A26H-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIA","M0","N1A","T1","Breast Invasive Ductal Carcinoma","BRCA_LumA"
"TCGA-A7-A26I-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIA","M0","N0","T2","Breast Invasive Ductal Carcinoma","BRCA_Basal"
"TCGA-A7-A26J-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIA","M0","N0","T2","Breast Invasive Ductal Carcinoma","BRCA_LumA"
"TCGA-A7-A2KD-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIIA","MX","N2A","T2","Breast Invasive Ductal Carcinoma","BRCA_LumB"
"TCGA-A7-A3IY-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE I","M0","N0","T1C","Breast Invasive Mixed Mucinous Carcinoma",NA
"TCGA-A7-A3IZ-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIA","M0","N0 (I+)","T2","Breast Invasive Lobular Carcinoma",NA
"TCGA-A7-A3J0-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIA","M0","N0","T2","Breast Invasive Mixed Mucinous Carcinoma",NA
"TCGA-A7-A3J1-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IA","MX","N0","T1C","Breast Invasive Lobular Carcinoma",NA
"TCGA-A7-A3RF-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIA","M0","N0","T2","Breast Invasive Mixed Mucinous Carcinoma","BRCA_LumA"
"TCGA-A7-A425-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIIC","MX","N3A","T3","Breast Invasive Lobular Carcinoma","BRCA_LumA"
"TCGA-A7-A426-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIIC","MX","N3A","T3","Breast Invasive Lobular Carcinoma",NA
"TCGA-A7-A4SA-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIB","M0","N1A","T2","Breast Invasive Lobular Carcinoma",NA
"TCGA-A7-A4SB-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIIA","M0","N1MI","T3","Breast Invasive Lobular Carcinoma",NA
"TCGA-A7-A4SC-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIB","MX","N0","T3","Breast Invasive Lobular Carcinoma",NA
"TCGA-A7-A4SD-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIA","M0","N0","T2","Breast Invasive Ductal Carcinoma","BRCA_Basal"
"TCGA-A7-A4SE-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIA","M0","N0","T2","Breast Invasive Ductal Carcinoma","BRCA_Basal"
"TCGA-A7-A4SF-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIA","M0","N0","T2","Breast Invasive Ductal Carcinoma",NA
"TCGA-A7-A56D-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIA","M0","N0","T2","Breast Invasive Ductal Carcinoma","BRCA_LumA"
"TCGA-A7-A5ZV-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIA","M0","N0","T2","Breast Invasive Carcinoma (NOS)","BRCA_Basal"
"TCGA-A7-A5ZW-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIA","M0","N1A","T1C","Breast Invasive Ductal Carcinoma","BRCA_LumA"
"TCGA-A7-A5ZX-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIIC","M0","N3A","T2","Breast Invasive Lobular Carcinoma","BRCA_LumA"
"TCGA-A7-A6VV-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIA","M0","N0","T2","Breast Invasive Ductal Carcinoma","BRCA_Basal"
"TCGA-A7-A6VW-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIA","M0","N0","T2","Breast Invasive Ductal Carcinoma","BRCA_Basal"
"TCGA-A7-A6VX-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIA","M0","N0","T2","Breast Invasive Ductal Carcinoma","BRCA_LumB"
"TCGA-A7-A6VY-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIB","M0","N1","T2","Breast Invasive Ductal Carcinoma","BRCA_Basal"
"TCGA-A8-A06N-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIIB","M0","N0","T4B","Breast Invasive Ductal Carcinoma","BRCA_LumB"
"TCGA-A8-A06O-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE I","M0","N0","T1C","Breast Invasive Ductal Carcinoma","BRCA_LumB"
"TCGA-A8-A06P-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIIA","M0","N2A","T1C","Breast Invasive Ductal Carcinoma","BRCA_LumA"
"TCGA-A8-A06Q-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIIA","M0","N2","T3","Breast Invasive Ductal Carcinoma","BRCA_LumB"
"TCGA-A8-A06R-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIB","M0","N1A","T2","Breast Invasive Ductal Carcinoma","BRCA_LumB"
"TCGA-A8-A06T-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIIA","M0","N1A","T3","Breast Invasive Ductal Carcinoma","BRCA_LumA"
"TCGA-A8-A06U-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIB","M0","N1A","T2","Breast Invasive Ductal Carcinoma","BRCA_LumA"
"TCGA-A8-A06X-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIB","M0","N0","T3","Breast Invasive Ductal Carcinoma","BRCA_LumB"
"TCGA-A8-A06Y-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIA","M0","N0","T2","Breast Invasive Ductal Carcinoma","BRCA_LumA"
"TCGA-A8-A06Z-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIB","M0","N0","T3","Breast Invasive Ductal Carcinoma","BRCA_LumB"
"TCGA-A8-A075-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIB","M0","N1A","T2","Breast Invasive Ductal Carcinoma","BRCA_LumB"
"TCGA-A8-A076-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIA","M0","N0","T2","Breast Invasive Ductal Carcinoma","BRCA_LumB"
"TCGA-A8-A079-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIIB","M0","N3","T4B","Breast Invasive Ductal Carcinoma","BRCA_LumB"
"TCGA-A8-A07B-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIA","M0","N0","T2","Breast Invasive Ductal Carcinoma","BRCA_LumA"
"TCGA-A8-A07C-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIA","M0","N0","T2","Breast Invasive Ductal Carcinoma",NA
"TCGA-A8-A07E-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE X","MX","N3A","T4B","Breast Invasive Ductal Carcinoma","BRCA_LumA"
"TCGA-A8-A07F-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIB","M0","N1A","T2","Breast Invasive Ductal Carcinoma","BRCA_LumA"
"TCGA-A8-A07G-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIA","M0","N1A","T1C","Breast Invasive Ductal Carcinoma","BRCA_LumA"
"TCGA-A8-A07I-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIIA","M0","N2A","T2","Breast Invasive Ductal Carcinoma","BRCA_Her2"
"TCGA-A8-A07J-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIB","M0","N1A","T2","Breast Invasive Ductal Carcinoma","BRCA_LumA"
"TCGA-A8-A07L-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIIA","M0","N1A","T3","Breast Invasive Ductal Carcinoma","BRCA_LumB"
"TCGA-A8-A07O-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIA","M0","N0","T2","Breast Invasive Ductal Carcinoma","BRCA_Basal"
"TCGA-A8-A07P-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIB","M0","N1","T2","Breast Invasive Ductal Carcinoma","BRCA_LumA"
"TCGA-A8-A07R-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIIC","M0","N3A","T2","Breast Invasive Ductal Carcinoma",NA
"TCGA-A8-A07S-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIA","M0","N0","T2","Breast Invasive Carcinoma (NOS)",NA
"TCGA-A8-A07U-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIIA","M0","N2A","T2","Breast Invasive Ductal Carcinoma","BRCA_Basal"
"TCGA-A8-A07W-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IV","M1","NX","T2","Breast Invasive Ductal Carcinoma","BRCA_LumB"
"TCGA-A8-A07Z-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIA","M0","N0","T2","Breast Invasive Ductal Carcinoma","BRCA_LumA"
"TCGA-A8-A081-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIA","M0","N0","T2","Breast Invasive Ductal Carcinoma","BRCA_LumB"
"TCGA-A8-A082-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIB","M0","N1A","T2","Breast Invasive Ductal Carcinoma","BRCA_LumB"
"TCGA-A8-A083-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIB","M0","N0","T3","Breast Invasive Ductal Carcinoma","BRCA_LumA"
"TCGA-A8-A084-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,NA,NA,NA,NA,NA,NA
"TCGA-A8-A085-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Male","TCGA","BRCA","Cancer",NA,"STAGE IIB","M0","N1A","T2","Breast Invasive Ductal Carcinoma",NA
"TCGA-A8-A086-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIA","M0","N1A","T1C","Breast Invasive Ductal Carcinoma","BRCA_LumA"
"TCGA-A8-A08A-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE I","M0","N0","T1C","Breast Invasive Ductal Carcinoma","BRCA_LumA"
"TCGA-A8-A08B-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIA","M0","N0","T2","Breast Invasive Ductal Carcinoma","BRCA_Her2"
"TCGA-A8-A08C-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIA","M0","N0","T2","Breast Invasive Ductal Carcinoma",NA
